PRO_COM_T,COD_PROV,comune,provincia,regione,popolazione,area_km2,densita_ab_km2
001234,001,"Salza di Pinerolo","1","1",65,15.68,4.1
001235,001,"Samone","1","1",1538,2.43,632.9
001236,001,"San Benigno Canavese","1","1",6050,22.23,272.2
001237,001,"San Carlo Canavese","1","1",4029,20.91,192.7
001238,001,"San Colombano Belmonte","1","1",359,3.38,106.2
001239,001,"San Didero","1","1",493,3.3,149.4
001240,001,"San Francesco al Campo","1","1",4805,14.98,320.8
001241,001,"Sangano","1","1",3624,6.65,545
001242,001,"San Germano Chisone","1","1",1689,15.86,106.5
001243,001,"San Gillio","1","1",3311,8.89,372.4
001244,001,"San Giorgio Canavese","1","1",2484,20.41,121.7
001245,001,"San Giorio di Susa","1","1",951,19.74,48.2
001246,001,"San Giusto Canavese","1","1",3309,9.61,344.3
001247,001,"San Martino Canavese","1","1",798,9.79,81.5
001248,001,"San Maurizio Canavese","1","1",10252,17.34,591.2
001249,001,"San Mauro Torinese","1","1",18267,12.55,1455.5
001250,001,"San Pietro Val Lemina","1","1",1437,12.44,115.5
001251,001,"San Ponso","1","1",230,2.12,108.5
001252,001,"San Raffaele Cimena","1","1",3128,11.12,281.3
001253,001,"San Sebastiano da Po","1","1",1853,16.58,111.8
001254,001,"San Secondo di Pinerolo","1","1",3638,12.57,289.4
001255,001,"Sant'Ambrogio di Torino","1","1",4501,8.37,537.8
001256,001,"Sant'Antonino di Susa","1","1",4073,9.79,416
001257,001,"Santena","1","1",10373,16.2,640.3
001258,001,"Sauze di Cesana","1","1",227,78.28,2.9
001259,001,"Sauze d'Oulx","1","1",1018,17.31,58.8
001260,001,"Scalenghe","1","1",3199,31.68,101
001261,001,"Scarmagno","1","1",785,8.03,97.8
001262,001,"Sciolze","1","1",1424,11.36,125.4
001263,001,"Sestriere","1","1",893,25.92,34.5
001264,001,"Settimo Rottaro","1","1",469,6.06,77.4
001265,001,"Settimo Torinese","1","1",45566,31.39,1451.6
001266,001,"Settimo Vittone","1","1",1507,23.26,64.8
001267,001,"Sparone","1","1",903,29.68,30.4
001268,001,"Strambinello","1","1",236,2.21,106.8
001269,001,"Strambino","1","1",6018,22.47,267.8
001270,001,"Susa","1","1",5776,10.99,525.6
001271,001,"Tavagnasco","1","1",747,8.68,86.1
001272,001,"Torino","1","1",855654,130,6582
001273,001,"Torrazza Piemonte","1","1",2997,9.82,305.2
001274,001,"Torre Canavese","1","1",597,5.45,109.5
