codice_comune,pop_0_14,pop_15_64,pop_65_plus,pop_male,pop_female
001285,94,646,243,552,431
001286,80,497,207,393,391
001287,392,1768,817,1430,1547
001288,7,56,25,43,45
001289,83,528,217,418,410
001290,154,888,375,720,697
001291,65,508,270,430,413
001292,3256,19279,9351,15436,16450
001293,562,2962,1264,2327,2461
001294,125,795,433,690,663
001295,72,458,222,376,376
001296,32,155,71,128,130
001298,49,263,138,216,234
001299,573,3111,1362,2497,2549
001300,509,2861,1215,2298,2287
001301,141,758,300,579,620
001302,395,2178,948,1717,1804
001303,284,1720,789,1383,1410
001304,94,607,293,494,500
001305,163,1183,597,953,990
001306,104,625,323,518,534
001307,371,2396,1125,1923,1969
001308,451,2677,1158,2096,2190
001309,2098,9352,3840,7493,7797
001310,161,732,295,596,592
001311,103,729,374,599,607
001312,57,325,144,256,270
001313,121,627,327,539,536
001314,1866,9425,3769,7435,7625
001315,1035,5417,1965,4179,4238
001316,865,4706,1709,3613,3667
001317,107,740,378,639,586
001318,85,602,325,495,517
002002,74,471,186,381,350
002003,32,191,104,162,165
002004,298,1516,665,1257,1222
002006,87,490,259,442,394
002007,148,876,363,697,690
002008,13,73,29,53,62
002009,16,130,64,122,88
002011,202,1138,529,917,952
002014,18,92,57,80,87
002015,214,1339,645,1112,1086
002016,1044,7127,3780,5694,6257
002017,279,1426,526,1097,1134
002021,83,550,229,429,433
002025,23,144,59,110,116
002029,5,50,23,40,38
002030,91,655,249,537,458
002031,134,655,321,544,566
002032,73,451,220,375,369
002033,17,146,57,118,102
002035,20,154,89,129,134
002041,0,33,14,28,19
002042,481,2615,1204,2119,2181
002043,21,148,54,112,111
002045,3,42,23,33,35
002047,87,494,234,393,422
002048,11,142,87,126,114
002049,834,4702,1967,3759,3744
002052,29,198,120,178,169
002054,144,674,279,529,568
002057,3,115,67,108,77
002058,82,628,326,528,508
002059,61,292,135,253,235
002061,746,4507,2295,3651,3897
002062,89,520,211,416,404
002065,32,204,94,168,162
002066,27,161,108,147,149
002067,53,288,127,231,237
002068,71,465,223,383,376
002070,59,350,142,263,288
002071,511,2642,1095,2048,2200
002072,79,441,233,369,384
002078,4,66,30,55,45
002079,132,821,407,686,674
002082,61,415,226,351,351
002088,102,470,202,378,396
002089,32,139,65,121,115
002090,88,663,337,543,545
002091,41,212,78,166,165
002093,146,810,333,628,661
002096,11,90,41,75,67
002097,12,125,56,99,94
002102,45,305,171,263,258
002104,73,467,180,373,347
002107,340,2258,1117,1745,1970
002108,41,239,101,185,196
002110,4,38,24,41,25
002113,10,84,45,86,53
002115,38,258,131,208,219
002116,212,1309,621,1030,1112
002118,52,338,170,260,300
002121,11,104,52,97,70
002122,95,532,258,421,464
002126,23,126,45,106,88
002127,8,50,30,47,41
002128,403,2267,1082,1840,1912
002131,198,1009,408,816,799
002133,825,4746,2453,3862,4162
002134,37,220,124,190,191
002135,33,242,113,205,183
002137,488,2866,1282,2265,2371
002142,144,740,315,603,596
002147,65,410,186,335,326
